transportadora,cnpj,codigo,rota,cidade,razao_social,nome_mapa,latitude,longitude,codigo_ibge,tipo_match,fonte_coordenada
BRASPRESS IPN,12.110.047/0001-97,1373,2,BARRA DO CHOCA,NEIFARMA PRODUTOS FARMACEUTICOS LTDA,Barra do Choça,-14.8654,-40.5791,2902906,município,Base Municipios-Brasileiros
BRASPRESS IPN,08.798.328/0001-07,1562,2,BARRA MANSA,ANA PAULA DE AZEVEDO BALBI FARMÁCIA LTDA,Barra Mansa,-22.5481,-44.1752,3300407,município,Base Municipios-Brasileiros
BRASPRESS IPN,08.798.328/0002-98,1563,2,BARRA MANSA,ANA PAULA DE A BALBI FARMACIA ME,Barra Mansa,-22.5481,-44.1752,3300407,município,Base Municipios-Brasileiros
BRASPRESS IPN,08.798.328/0003-79,1564,2,BARRA MANSA,ANA PAULA BALBI DE AZEVEDO FARMÁCIA LTDA,Barra Mansa,-22.5481,-44.1752,3300407,município,Base Municipios-Brasileiros
BRASPRESS IPN,28.676.336/0001-98,613,2,BARRA MANSA,FARMÁCIA SANTA HELENA LTDA. ME,Barra Mansa,-22.5481,-44.1752,3300407,município,Base Municipios-Brasileiros
BRASPRESS IPN,15.154.373/0001-94,1434,2,BARRETOS,TAVARES MEDICAMENTOS LTDA,Barretos,-20.5531,-48.5698,3505500,município,Base Municipios-Brasileiros
BRASPRESS IPN,01.167.056/0001-06,407,2,BELA VISTA DE MINAS,RENATA FERREIRA GRIJÓ,Bela Vista de Minas,-19.8302,-43.0922,3106002,município,Base Municipios-Brasileiros
BRASPRESS IPN,42.566.560/0001-58,1845,2,BELFORD ROXO,FARMACIA E DROGARIA BEL FARMA LTDA,Belford Roxo,-22.764,-43.3992,3300456,município,Base Municipios-Brasileiros
BRASPRESS IPN,01.667.081/0001-40,185,2,BELFORD ROXO,DROGARIA ROSE COLLARES LTDA,Belford Roxo,-22.764,-43.3992,3300456,município,Base Municipios-Brasileiros
BRASPRESS IPN,32.944.450/0001-29,526,2,BELO CAMPO,FARMÁCIA DO POVO DO BRASIL LTDA,Belo Campo,-15.0334,-41.2652,2903508,município,Base Municipios-Brasileiros
